,company,Factset name company
184,Canadian Pacific Railway,Canadian Pacific Railway Ltd.
185,Boston Scientific,Boston Scientific Corp.
186,Duke Energy,Duke Energy Corp.
187,HCA Healthcare,"HCA Healthcare, Inc."
188,Hindustan Unilever,Unilever Plc
189,Merck KGaA,Merck KGaA
190,GlaxoSmithKline,GSK Plc
191,Fast Retailing,"FAST RETAILING CO., LTD."
192,Postal Savings Bank of China,"Postal Savings Bank of China Co., Ltd."
193,SABIC,UNKNOWN
194,KDDI,KDDI Corp.
195,Fiserv,"Fiserv, Inc."
196,Kering,Kering SA
197,Target,Target Corp.
198,Bank Central Asia,UNKNOWN
199,Walmex,UNKNOWN
